AVG,year,player,fantasyPts,position,bucket,median,expected_diff,player_id
254.3,2017,Brandon LaFell,124.8,WR,14,90.55,34.25,613
254.5,2017,Brandon Coleman,77.4,WR,14,90.55,-13.15,2196
254.7,2017,Terrance Williams,111.3,WR,14,90.55,20.75,1490
259.3,2017,Dede Westbrook,66.9,WR,14,90.55,-23.65,4146
261.0,2017,Phillip Dorsett,32.1,WR,14,90.55,-58.45,2334
262.0,2017,Tyler Boyd,56.5,WR,14,90.55,-34.05,3225
263.3,2017,Jermaine Kearse,176.0,WR,15,60.7,115.3,1290
263.5,2017,Kasen Williams,17.4,WR,15,60.7,-43.3,2611
265.0,2017,Damiere Byrd,33.7,WR,15,60.7,-27.0,2673
268.0,2017,Chad Williams,9.4,WR,15,60.7,-51.3,4128
269.3,2017,JuJu Smith-Schuster,191.7,WR,15,60.7,131.0,4040
271.5,2017,Michael Floyd,17.8,WR,15,60.7,-42.9,1219
272.0,2017,Cordarrelle Patterson,86.0,WR,16,47.55,38.45,
274.7,2017,Eli Rogers,38.9,WR,16,47.55,-8.65,2980
277.3,2017,Laquon Treadwell,40.0,WR,16,47.55,-7.55,3155
288.5,2017,Braxton Miller,41.3,WR,16,47.55,-6.25,3203
289.0,2017,Taywan Taylor,49.4,WR,16,47.55,1.85,4125
290.0,2017,Ryan Switzer,10.6,WR,16,47.55,-36.95,4162
298.0,2017,Chris Godwin,92.5,WR,17,50.1,42.4,4037
299.0,2017,Jeremy Kerley,49.7,WR,17,50.1,-0.399999999999999,817
299.0,2017,Bruce Ellington,75.7,WR,17,50.1,25.6,2255
299.0,2017,Austin Carr,0.0,WR,17,50.1,-50.1,4416
300.0,2017,Aldrick Robinson,57.0,WR,17,50.1,6.9,919
305.5,2017,Kamar Aiken,28.3,WR,17,50.1,-21.8,794
307.0,2017,Mack Hollins,44.6,WR,18,55.85,-11.25,4177
312.0,2017,Jaelen Strong,12.8,WR,18,55.85,-43.05,2375
314.0,2017,Dontrelle Inman,65.3,WR,18,55.85,9.45,2291
322.0,2017,Brian Quick,13.6,WR,18,55.85,-42.25,1208
322.5,2017,Markus Wheaton,8.1,WR,18,55.85,-47.75,1413
327.5,2017,Seth Roberts,94.5,WR,18,55.85,38.65,2039
328.5,2017,Sammie Coates,13.0,WR,19,45.5,-32.5,2392
338.5,2017,Andre Holmes,43.0,WR,19,45.5,-2.5,940
343.5,2017,Geronimo Allison,48.3,WR,19,45.5,2.8,3503
349.0,2017,Chester Rogers,58.2,WR,19,45.5,12.7,3582
353.0,2017,Tyler Ervin,13.0,WR,19,45.5,-32.5,
360.0,2017,Adam Humphries,130.7,WR,19,45.5,85.2,2822
362.0,2017,Demarcus Robinson,42.2,WR,20,25.7,16.5,3286
369.0,2017,Justin Hunter,12.3,WR,20,25.7,-13.4,1418
372.0,2017,Leonte Carroo,13.9,WR,20,25.7,-11.8,3253
381.0,2017,Albert Wilson,116.0,WR,20,25.7,90.3,2025
384.0,2017,Charone Peake,1.3,WR,20,25.7,-24.4,3396
386.0,2017,Ricardo Louis,62.7,WR,20,25.7,37.0,3275
36.7,2018,Aaron Rodgers,314.6,QB,0,307.2,7.40000000000003,96
56.3,2018,Deshaun Watson,346.6,QB,0,307.2,39.4,4017
60.7,2018,Russell Wilson,308.5,QB,0,307.2,1.30000000000001,1234
65.7,2018,Tom Brady,294.7,QB,0,307.2,-12.5,167
73.3,2018,Cam Newton,291.6,QB,0,307.2,-15.6,954
81.0,2018,Drew Brees,308.9,QB,0,307.2,1.69999999999999,289
94.3,2018,Carson Wentz,209.3,QB,1,286.7,-77.4,3161
98.0,2018,Matthew Stafford,231.2,QB,1,286.7,-55.5,421
98.7,2018,Kirk Cousins,299.4,QB,1,286.7,12.7,1166
100.0,2018,Andrew Luck,339.5,QB,1,286.7,52.8,1111
105.3,2018,Ben Roethlisberger,353.0,QB,1,286.7,66.3,138
108.3,2018,Jimmy Garoppolo,49.0,QB,1,286.7,-237.7,1837
110.7,2018,Philip Rivers,289.0,QB,2,259.25,29.75,331
113.7,2018,Matt Ryan,360.5,QB,2,259.25,101.25,24
115.3,2018,Patrick Mahomes,431.1,QB,2,259.25,171.85,4046
121.3,2018,Jared Goff,326.3,QB,2,259.25,67.05,3163
126.7,2018,Marcus Mariota,184.8,QB,2,259.25,-74.45,2307
133.3,2018,Alex Smith,145.0,QB,2,259.25,-114.25,268
138.7,2018,Derek Carr,238.7,QB,3,209.0,29.7,2028
141.7,2018,Dak Prescott,301.9,QB,3,209.0,92.9,3294
146.7,2018,Jameis Winston,215.8,QB,3,209.0,6.80000000000001,2306
160.7,2018,Eli Manning,253.0,QB,3,209.0,44.0,188
163.7,2018,Blake Bortles,192.2,QB,3,209.0,-16.8,1979
166.7,2018,Andy Dalton,185.5,QB,3,209.0,-23.5,829
167.0,2018,Case Keenum,233.9,QB,4,174.65,59.25,1737
196.7,2018,Tyrod Taylor,43.4,QB,4,174.65,-131.25,827
198.0,2018,Ryan Tannehill,152.7,QB,4,174.65,-21.95,1049
208.0,2018,Joe Flacco,145.1,QB,4,174.65,-29.55,19
221.3,2018,Baker Mayfield,256.1,QB,4,174.65,81.45,4892
223.7,2018,Sam Darnold,187.4,QB,4,174.65,12.75,4943
224.0,2018,Sam Bradford,20.7,QB,5,112.1,-91.4,621
240.3,2018,Lamar Jackson,168.3,QB,5,112.1,56.2,4881
253.3,2018,Nick Foles,82.2,QB,5,112.1,-29.9,1029
260.3,2018,Josh Allen,222.1,QB,5,112.1,110.0,4984
263.3,2018,Josh Rosen,134.9,QB,5,112.1,22.8,4863
292.7,2018,Josh McCown,24.8,QB,5,112.1,-87.3,208
311.0,2018,A.J. McCarron,0.1,QB,6,12.3,-12.2,1895
321.0,2018,Ryan Fitzpatrick,177.8,QB,6,12.3,165.5,333
330.0,2018,Teddy Bridgewater,8.2,QB,6,12.3,-4.1,2152
331.5,2018,Jacoby Brissett,-0.6,QB,6,12.3,-12.9,3257
427.0,2018,Brian Hoyer,-0.5,QB,6,12.3,-12.8,345
436.0,2018,DeShone Kizer,9.4,QB,6,12.3,-2.9,4026
452.0,2018,Chad Kelly,-0.1,QB,7,25.45,-25.55,4051
464.0,2018,C.J. Beathard,88.0,QB,7,25.45,62.55,4127
489.0,2018,Chase Daniel,30.9,QB,7,25.45,5.45,490
1.0,2018,Todd Gurley II,368.1,RB,0,239.4,128.7,2315
4.0,2018,Ezekiel Elliott,331.1,RB,0,239.4,91.7000000000001,3164
5.7,2018,Alvin Kamara,348.2,RB,0,239.4,108.8,4035
7.0,2018,Saquon Barkley,383.8,RB,0,239.4,144.4,4866
9.3,2018,Kareem Hunt,230.2,RB,0,239.4,-9.19999999999999,4098
9.7,2018,Leonard Fournette,120.4,RB,0,239.4,-119.0,3969
10.3,2018,Melvin Gordon III,271.5,RB,1,227.8,43.7,2320
14.3,2018,Christian McCaffrey,383.2,RB,1,227.8,155.4,4034
14.3,2018,Dalvin Cook,156.0,RB,1,227.8,-71.8,4029
19.0,2018,Devonta Freeman,14.1,RB,1,227.8,-213.7,2168
22.3,2018,Joe Mixon,243.7,RB,1,227.8,15.9,4018
23.3,2018,Jordan Howard,182.0,RB,1,227.8,-45.8,3306
28.0,2018,LeSean McCoy,127.2,RB,2,193.55,-66.35,676
31.7,2018,Kenyan Drake,208.2,RB,2,193.55,14.65,3242
35.0,2018,Alex Collins,114.6,RB,2,193.55,-78.95,3327
39.3,2018,Derrick Henry,202.8,RB,2,193.55,9.25,3198
42.7,2018,Jay Ajayi,43.4,RB,2,193.55,-150.15,2452
