AVG,year,player,fantasyPts,position,bucket,median,expected_diff,sleeper_id,player_id
322.0,2017,Brian Quick,13.6,WR,18,55.85,-42.25,8140,1208
322.5,2017,Markus Wheaton,8.1,WR,18,55.85,-47.75,8140,1413
327.5,2017,Seth Roberts,94.5,WR,18,55.85,38.65,8140,2039
328.5,2017,Sammie Coates,13.0,WR,19,45.5,-32.5,8140,2392
338.5,2017,Andre Holmes,43.0,WR,19,45.5,-2.5,8140,940
343.5,2017,Geronimo Allison,48.3,WR,19,45.5,2.799999999999997,8140,3503
349.0,2017,Chester Rogers,58.2,WR,19,45.5,12.700000000000005,8140,3582
353.0,2017,Tyler Ervin,13.0,WR,19,45.5,-32.5,8140,
360.0,2017,Adam Humphries,130.7,WR,19,45.5,85.19999999999999,8140,2822
362.0,2017,Demarcus Robinson,42.2,WR,20,25.700000000000003,16.5,8140,3286
369.0,2017,Justin Hunter,12.3,WR,20,25.700000000000003,-13.400000000000002,8140,1418
372.0,2017,Leonte Carroo,13.9,WR,20,25.700000000000003,-11.800000000000002,8140,3253
381.0,2017,Albert Wilson,116.0,WR,20,25.700000000000003,90.3,8140,2025
384.0,2017,Charone Peake,1.3,WR,20,25.700000000000003,-24.4,8140,3396
386.0,2017,Ricardo Louis,62.7,WR,20,25.700000000000003,37.0,8140,3275
36.7,2018,Aaron Rodgers,314.6,QB,0,307.2,7.400000000000034,8140,96
56.3,2018,Deshaun Watson,346.6,QB,0,307.2,39.400000000000034,8140,4017
60.7,2018,Russell Wilson,308.5,QB,0,307.2,1.3000000000000114,8140,1234
65.7,2018,Tom Brady,294.7,QB,0,307.2,-12.5,8140,167
73.3,2018,Cam Newton,291.6,QB,0,307.2,-15.599999999999966,8140,954
81.0,2018,Drew Brees,308.9,QB,0,307.2,1.6999999999999886,8140,289
94.3,2018,Carson Wentz,209.3,QB,1,286.7,-77.39999999999998,8140,3161
98.0,2018,Matthew Stafford,231.2,QB,1,286.7,-55.5,8140,421
98.7,2018,Kirk Cousins,299.4,QB,1,286.7,12.699999999999989,8140,1166
100.0,2018,Andrew Luck,339.5,QB,1,286.7,52.80000000000001,8140,1111
105.3,2018,Ben Roethlisberger,353.0,QB,1,286.7,66.30000000000001,8140,138
